02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Executing VendorTabVM#AddVendorItem
02/04/18 - 09:16:03 - INFO - Executing ModalVM`1#ModalOk
02/04/18 - 09:16:03 - INFO - Upating Vendor: 0
02/04/18 - 09:16:03 - INFO - Upating Vendor: 0
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:04 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:05 - INFO - Executing VendorTabVM#AddVendorItem
02/04/18 - 09:16:11 - INFO - Executing ModalVM`1#ModalOk
02/04/18 - 09:16:11 - INFO - Upating Vendor: 0
02/04/18 - 09:16:11 - INFO - Upating Vendor: 0
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:11 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:12 - INFO - Executing VendorTabVM#AddVendorItem
02/04/18 - 09:16:18 - INFO - Executing ModalVM`1#ModalOk
02/04/18 - 09:16:18 - INFO - Upating Vendor: 0
02/04/18 - 09:16:19 - INFO - Upating Vendor: 0
02/04/18 - 09:16:19 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:19 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:19 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:19 - INFO - Changed to tab: Vendors
02/04/18 - 09:16:19 - INFO - Changed to tab: Vendors
